user_id,status_id,created_at,screen_name,text,source,display_text_width,country
347845327,1406696812493348867,2021-06-20T19:33:49Z,CNkulikiyinka,"Feeling deeply grateful for the role model and father that you are! 

Parenting for the past decades, and now sharing the journey of becoming grandparents with you @PaulKagame, is a blessing, no words can fully express. https://t.co/8uwDjIu9DS",Twitter for iPhone,139,NA
578666044,1406696810677116935,2021-06-20T19:33:49Z,aidaseet,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
983290976373526528,1406696807661391874,2021-06-20T19:33:48Z,hamsha2018,"Was on @republic today to talk about #SharedParenting on occasion of #FathersDay
https://t.co/7aiT8GqN78",Twitter for Android,121,NA
748963723260428288,1406696794466131968,2021-06-20T19:33:45Z,_poorish,Happy Father's Day to the immigrant Papas who became fathers at the same age we are still exploring what we want. The ones who were parenting themselves as they were learning to parent us. The ones learning to be fathers without their fathers to guide them.,Twitter for iPhone,139,NA
2430289423,1406696793631506432,2021-06-20T19:33:45Z,SoulKiba,"I've been tring to think of an OC to post for fathers days and literally forgot about Charles which probably speaks for his attemps at...parenting :'D

I'll give him that, hes not as bad at it, as he thinks he is. https://t.co/B2srOCkhwh",Twitter Web App,213,NA
1252722747706245122,1406696779031121922,2021-06-20T19:33:41Z,redmulletbev,"Okay but Reddie as parents: Richie would 100% hear the kid out on stuff but generally would trust his Parenting Gut (he’d call it that, you know he would) while Eddie would make a decision &amp; have to make sure the kid knew why for every step of the way",Twitter for iPhone,140,NA
1351147609,1406696771162677254,2021-06-20T19:33:40Z,KTYSHRYN,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
2180189124,1406696733648764936,2021-06-20T19:33:31Z,nyirasafariespe,"Feeling deeply grateful for the role model and father that you are! 

Parenting for the past decades, and now sharing the journey of becoming grandparents with you @PaulKagame, is a blessing, no words can fully express. https://t.co/8uwDjIu9DS",Twitter for iPhone,139,NA
634533128,1406696722437480452,2021-06-20T19:33:28Z,DawnJam16218572,Kevin Hart recalls 'getting my daughter back' after publicly apologizing for affair https://t.co/2NaziUyhA0 https://t.co/KqYkf7CuJX,Twitter Web App,140,NA
1167971382753406976,1406696714447298570,2021-06-20T19:33:26Z,itsug4_,since it’s father’s day im reminding you that yoongi has a parenting dairy for holly https://t.co/l7u6KP5Ux1,Twitter for Android,122,NA
